Title,Author,ISBN,Year,Genre
Emma,Jane Austen,9780141439587,1815,Romance
The Great Gatsby,F. Scott Fitzgerald,9780743273565,1925,Fiction
The Silmarillion,J.R.R. Tolkien,9780544338012,1977,Fantasy
Digital Fortress,Dan Brown,9780312995423,1998,Mystery
Murder on the Orient Express,Agatha Christie,9780062693662,1934,Mystery
Harry Potter and the Chamber of Secrets,J.K. Rowling,9780439064873,1998,Fantasy
The Da Vinci Code,Dan Brown,9780307474278,2003,Mystery
Pride and Prejudice,Jane Austen,9780141439518,1813,Romance
This Side of Paradise,F. Scott Fitzgerald,9780743451475,1920,Fiction
The Lord of the Rings,J.R.R. Tolkien,9780544003415,1954,Fantasy
Foundation,Isaac Asimov,9780553293357,1951,Science Fiction
Foundation's Edge,Isaac Asimov,9780553293376,1982,Science Fiction
Death on the Nile,Agatha Christie,9780062073556,1937,Mystery
Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,1997,Fantasy
I Robot,Isaac Asimov,9780553294385,1950,Science Fiction
Dune,Frank Herbert,9780441172719,1965,Science Fiction
Tender Is the Night,F. Scott Fitzgerald,9780684801544,1934,Fiction
The Hobbit,J.R.R. Tolkien,9780547928227,1937,Fantasy
The Theory of Everything,Stephen Hawking,9780553384666,2002,Science
Angels & Demons,Dan Brown,9781416524793,2000,Mystery
A Brief History of Time,Stephen Hawking,9780553380163,1988,Science
